001  00111 |Loss: 2.212 | Train_acc: 17.462% 
001  00112 |Loss: 2.211 | Train_acc: 17.501% 
001  00113 |Loss: 2.209 | Train_acc: 17.568% 
001  00114 |Loss: 2.208 | Train_acc: 17.640% 
001  00115 |Loss: 2.207 | Train_acc: 17.677% 
001  00116 |Loss: 2.206 | Train_acc: 17.693% 
001  00117 |Loss: 2.206 | Train_acc: 17.688% 
001  00118 |Loss: 2.205 | Train_acc: 17.691% 
001  00119 |Loss: 2.203 | Train_acc: 17.719% 
001  00120 |Loss: 2.201 | Train_acc: 17.799% 
001  00121 |Loss: 2.201 | Train_acc: 17.840% 
001  00122 |Loss: 2.199 | Train_acc: 17.924% 
001  00123 |Loss: 2.199 | Train_acc: 17.905% 
001  00124 |Loss: 2.199 | Train_acc: 17.925% 
001  00125 |Loss: 2.198 | Train_acc: 17.987% 
001  00126 |Loss: 2.197 | Train_acc: 17.987% 
001  00127 |Loss: 2.196 | Train_acc: 18.024% 
001  00128 |Loss: 2.196 | Train_acc: 18.042% 
001  00129 |Loss: 2.196 | Train_acc: 18.102% 
001  00130 |Loss: 2.194 | Train_acc: 18.161% 
001  00131 |Loss: 2.194 | Train_acc: 18.189% 
001  00132 |Loss: 2.193 | Train_acc: 18.188% 
001  00133 |Loss: 2.192 | Train_acc: 18.298% 
001  00134 |Loss: 2.190 | Train_acc: 18.365% 
001  00135 |Loss: 2.189 | Train_acc: 18.403% 
001  00136 |Loss: 2.188 | Train_acc: 18.451% 
001  00137 |Loss: 2.187 | Train_acc: 18.488% 
001  00138 |Loss: 2.188 | Train_acc: 18.433% 
001  00139 |Loss: 2.187 | Train_acc: 18.497% 
001  00140 |Loss: 2.186 | Train_acc: 18.544% 
001  00141 |Loss: 2.185 | Train_acc: 18.606% 
001  00142 |Loss: 2.183 | Train_acc: 18.695% 
001  00143 |Loss: 2.183 | Train_acc: 18.766% 
001  00144 |Loss: 2.182 | Train_acc: 18.848% 
001  00145 |Loss: 2.181 | Train_acc: 18.874% 
001  00146 |Loss: 2.179 | Train_acc: 18.943% 
001  00147 |Loss: 2.178 | Train_acc: 18.989% 
001  00148 |Loss: 2.178 | Train_acc: 18.988% 
001  00149 |Loss: 2.177 | Train_acc: 19.033% 
001  00150 |Loss: 2.176 | Train_acc: 19.094% 
001  00151 |Loss: 2.175 | Train_acc: 19.107% 
001  00152 |Loss: 2.174 | Train_acc: 19.177% 
001  00153 |Loss: 2.172 | Train_acc: 19.240% 
001  00154 |Loss: 2.171 | Train_acc: 19.328% 
001  00155 |Loss: 2.170 | Train_acc: 19.350% 
001  00156 |Loss: 2.170 | Train_acc: 19.396% 
001  00157 |Loss: 2.169 | Train_acc: 19.402% 
001  00158 |Loss: 2.168 | Train_acc: 19.447% 
001  00159 |Loss: 2.167 | Train_acc: 19.482% 
001  00160 |Loss: 2.167 | Train_acc: 19.478% 
001  00161 |Loss: 2.165 | Train_acc: 19.507% 
001  00162 |Loss: 2.165 | Train_acc: 19.526% 
001  00163 |Loss: 2.164 | Train_acc: 19.574% 
001  00164 |Loss: 2.163 | Train_acc: 19.612% 
001  00165 |Loss: 2.162 | Train_acc: 19.678% 
001  00166 |Loss: 2.160 | Train_acc: 19.738% 
001  00167 |Loss: 2.159 | Train_acc: 19.779% 
001  00168 |Loss: 2.159 | Train_acc: 19.829% 
001  00169 |Loss: 2.159 | Train_acc: 19.869% 
001  00170 |Loss: 2.158 | Train_acc: 19.922% 
001  00171 |Loss: 2.157 | Train_acc: 19.942% 
001  00172 |Loss: 2.157 | Train_acc: 19.936% 
001  00173 |Loss: 2.157 | Train_acc: 19.969% 
001  00174 |Loss: 2.156 | Train_acc: 20.016% 
001  00175 |Loss: 2.155 | Train_acc: 20.076% 
001  00176 |Loss: 2.154 | Train_acc: 20.082% 
001  00177 |Loss: 2.154 | Train_acc: 20.096% 
001  00178 |Loss: 2.152 | Train_acc: 20.141% 
001  00179 |Loss: 2.152 | Train_acc: 20.177% 
001  00180 |Loss: 2.150 | Train_acc: 20.187% 
001  00181 |Loss: 2.150 | Train_acc: 20.192% 
001  00182 |Loss: 2.149 | Train_acc: 20.231% 
001  00183 |Loss: 2.148 | Train_acc: 20.266% 
001  00184 |Loss: 2.147 | Train_acc: 20.296% 
001  00185 |Loss: 2.147 | Train_acc: 20.329% 
001  00186 |Loss: 2.146 | Train_acc: 20.363% 
001  00187 |Loss: 2.145 | Train_acc: 20.396% 
001  00188 |Loss: 2.144 | Train_acc: 20.412% 
001  00189 |Loss: 2.143 | Train_acc: 20.445% 
001  00190 |Loss: 2.142 | Train_acc: 20.485% 
001  00191 |Loss: 2.141 | Train_acc: 20.533% 
001  00192 |Loss: 2.140 | Train_acc: 20.585% 
001  00193 |Loss: 2.139 | Train_acc: 20.665% 
001  00194 |Loss: 2.139 | Train_acc: 20.695% 
001  00195 |Loss: 2.137 | Train_acc: 20.745% 
001  00196 |Loss: 2.137 | Train_acc: 20.759% 
001  00197 |Loss: 2.136 | Train_acc: 20.776% 
001  00198 |Loss: 2.135 | Train_acc: 20.806% 
001  00199 |Loss: 2.134 | Train_acc: 20.858% 
001  00200 |Loss: 2.134 | Train_acc: 20.855% 
001  00201 |Loss: 2.133 | Train_acc: 20.907% 
001  00202 |Loss: 2.132 | Train_acc: 20.931% 
001  00203 |Loss: 2.132 | Train_acc: 20.928% 
001  00204 |Loss: 2.132 | Train_acc: 20.929% 
001  00205 |Loss: 2.131 | Train_acc: 20.922% 
001  00206 |Loss: 2.131 | Train_acc: 20.927% 
001  00207 |Loss: 2.131 | Train_acc: 20.965% 
001  00208 |Loss: 2.130 | Train_acc: 21.030% 
001  00209 |Loss: 2.129 | Train_acc: 21.079% 
001  00210 |Loss: 2.129 | Train_acc: 21.105% 
001  00211 |Loss: 2.128 | Train_acc: 21.112% 
001  00212 |Loss: 2.128 | Train_acc: 21.149% 
001  00213 |Loss: 2.127 | Train_acc: 21.189% 
001  00214 |Loss: 2.126 | Train_acc: 21.211% 
001  00215 |Loss: 2.126 | Train_acc: 21.203% 
001  00216 |Loss: 2.126 | Train_acc: 21.213% 
001  00217 |Loss: 2.126 | Train_acc: 21.209% 
001  00218 |Loss: 2.126 | Train_acc: 21.223% 
001  00219 |Loss: 2.125 | Train_acc: 21.247% 
001  00220 |Loss: 2.125 | Train_acc: 21.239% 
001  00221 |Loss: 2.125 | Train_acc: 21.256% 
001  00222 |Loss: 2.124 | Train_acc: 21.277% 
001  00223 |Loss: 2.123 | Train_acc: 21.290% 
001  00224 |Loss: 2.123 | Train_acc: 21.293% 
001  00225 |Loss: 2.124 | Train_acc: 21.340% 
001  00226 |Loss: 2.123 | Train_acc: 21.356% 
001  00227 |Loss: 2.123 | Train_acc: 21.376% 
001  00228 |Loss: 2.122 | Train_acc: 21.382% 
001  00229 |Loss: 2.122 | Train_acc: 21.414% 
001  00230 |Loss: 2.120 | Train_acc: 21.454% 
001  00231 |Loss: 2.120 | Train_acc: 21.435% 
001  00232 |Loss: 2.120 | Train_acc: 21.447% 
